Designator,Mid X,Mid Y,Rotation,Layer
C101,175.975,-115.0,0.0,top
C102,179.75,-126.0,180.0,top
C103,161.7,-82.7,0.0,top
C104,153.25,-113.75,180.0,top
C105,151.25,-108.25,180.0,top
C106,179.25,-103.0,0.0,top
C107,176.4,-93.0,90.0,top
C108,164.75,-116.25,180.0,top
C109,164.75,-117.75,180.0,top
C110,163.0,-89.0,180.0,top
C111,163.0,-87.5,180.0,top
C112,159.75,-116.25,180.0,top
C113,151.25,-109.75,180.0,top
C114,179.25,-99.0,0.0,top
C115,162.3,-91.3,180.0,top
C116,179.7375,-92.375,90.0,top
C118,156.0,-69.0,180.0,top
C119,151.25,-68.999999,180.0,top
C120,148.75,-68.249999,90.0,top
C121,136.5,-71.499999,270.0,top
C122,156.0,-84.5,0.0,top
C123,151.25,-84.500001,0.0,top
C124,159.25,-68.25,90.0,top
C125,150.75,-115.25,0.0,top
C126,153.75,-115.25,180.0,top
C127,167.1,-117.25,270.0,top
C128,152.0,-97.25,180.0,top
C129,166.75,-89.25,90.0,top
C130,179.25,-104.5,0.0,top
C301,119.249999,-87.25,180.0,top
C302,119.25,-84.25,180.0,top
C303,129.750001,-87.25,0.0,top
C304,129.75,-84.25,0.0,top
C305,126.0,-80.5,270.0,top
C306,124.5,-80.5,270.0,top
C307,119.25,-82.75,180.0,top
C308,129.75,-82.75,0.0,top
C501,181.725,-89.75,0.0,top
C601,199.75,-109.0,270.0,top
C602,198.25,-110.75,270.0,top
C603,183.25,-102.75,180.0,top
C604,183.5,-107.5,135.0,top
C605,194.25,-112.5,0.0,top
C606,199.75,-106.0,270.0,top
C607,188.25,-96.0,90.0,top
C608,190.25,-112.5,180.0,top
C609,199.25,-99.25,0.0,top
C610,190.5,-95.25,180.0,top
C611,190.5,-96.75,180.0,top
C612,195.0,-95.25,0.0,top
C613,195.0,-96.75,0.0,top
C614,203.25,-111.25,180.0,top
C615,198.75,-96.0,90.0,top
C616,197.25,-96.0,90.0,top
C702,198.675,-76.25,180.0,top
C704,193.425,-76.5,180.0,top
C705,192.175,-80.25,90.0,top
C706,205.5,-79.75,270.0,top
C707,202.925,-76.25,180.0,top
C708,194.675,-80.25,90.0,top
D101,180.0,-96.2,90.0,top
D102,190.75,-116.25,180.0,top
D108,191.25,-118.75,0.0,top
D217,183.5,-119.75,0.0,top
D218,183.499999,-118.25,0.0,top
D219,183.499999,-116.75,0.0,top
D220,183.499999,-115.250001,0.0,top
D221,183.499999,-113.75,0.0,top
D222,183.499999,-112.25,0.0,top
D223,183.499999,-110.75,0.0,top
FB301,123.0,-80.5,270.0,top
FB302,129.75,-88.75,0.0,top
FB601,190.5,-93.75,0.0,top
FB602,195.0,-93.75,180.0,top
J1,173.185125,-123.946447,90.0,bottom
J102,181.71,-65.5,90.0,top
J2,198.585125,-123.946446,90.0,bottom
J301,129.84,-109.75,270.0,top
J302,118.7,-68.6,90.0,top
J501,170.5,-67.0,180.0,top
J702,198.95,-71.7,180.0,top
J703,199.33,-68.7,180.0,top
L701,194.25,-87.0,180.0,top
Q501,182.75,-87.25,180.0,top
Q502,182.75,-83.75,180.0,top
Q503,182.75,-80.25,180.0,top
Q701,202.5,-88.75,270.0,top
R101,159.5,-85.0,90.0,top
R102,176.75,-126.0,0.0,top
R103,164.75,-119.25,180.0,top
R104,164.25,-85.25,90.0,top
R105,152.075,-101.25,180.0,top
R107,142.25,-121.25,0.0,top
R108,142.25,-119.75,0.0,top
R109,191.25,-121.25,0.0,top
R110,188.5,-118.75,90.0,top
R217,183.5,-121.25,0.0,top
R218,186.5,-121.25,0.0,top
R219,179.25,-113.5,180.0,top
R220,179.25,-112.0,180.0,top
R221,179.25,-110.5,180.0,top
R222,179.25,-109.0,180.0,top
R223,179.25,-107.5,180.0,top
R301,133.25,-113.325001,90.0,top
R302,134.75,-113.325001,90.0,top
R303,136.25,-113.325,90.0,top
R304,137.75,-113.325,90.0,top
R305,139.25,-113.325,90.0,top
R306,140.75,-113.325,90.0,top
R307,142.25,-113.325,90.0,top
R308,143.75,-113.325001,90.0,top
R309,132.925,-103.25,0.0,top
R310,133.25,-110.075001,90.0,top
R311,134.75,-110.075001,90.0,top
R312,136.25,-110.075,90.0,top
R313,137.75,-110.075,90.0,top
R314,139.25,-110.075,90.0,top
R315,140.74,-110.075,90.0,top
R316,142.25,-110.075,90.0,top
R317,143.75,-110.075001,90.0,top
R318,145.25,-110.075,90.0,top
R319,133.25,-106.825001,90.0,top
R320,134.75,-106.825001,90.0,top
R321,136.25,-106.825,90.0,top
R322,137.75,-106.825,90.0,top
R323,139.25,-106.825,90.0,top
R324,140.75,-106.825,90.0,top
R325,142.25,-106.825,90.0,top
R326,143.75,-106.825001,90.0,top
R327,132.925,-101.75,0.0,top
R328,119.25,-85.75,180.0,top
R329,132.25,-98.5,270.0,top
R330,133.75,-98.5,270.0,top
R331,129.75,-85.75,0.0,top
R332,119.25,-81.25,180.0,top
R333,129.75,-81.25,0.0,top
R501,166.75,-86.0,0.0,top
R502,170.500002,-86.0,0.0,top
R503,173.500002,-86.000001,0.0,top
R504,176.500001,-86.0,0.0,top
R505,165.250002,-88.25,90.0,top
R506,168.25,-88.25,90.0,top
R507,169.750002,-88.249999,90.0,top
R508,171.250002,-88.250001,90.0,top
R509,172.750002,-88.25,90.0,top
R510,174.250002,-88.25,90.0,top
R511,175.750002,-88.25,90.0,top
R512,177.25,-88.25,90.0,top
R513,185.5,-87.25,270.0,top
R514,180.0,-87.25,270.0,top
R515,185.5625,-83.75,270.0,top
R516,180.0,-83.75,270.0,top
R517,185.5,-80.25,270.0,top
R518,180.0,-80.25,270.0,top
R519,179.0,-74.0,270.0,top
R520,184.25,-77.75,0.0,top
R521,181.25,-77.75,180.0,top
R601,192.75,-96.0,270.0,top
R602,186.75,-96.0,90.0,top
R603,202.25,-101.5,270.0,top
R604,204.5,-99.25,0.0,top
R605,205.25,-101.5,90.0,top
R606,203.75,-101.5,90.0,top
R701,190.25,-73.5,90.0,top
R703,205.5,-82.75,90.0,top
R704,200.25,-83.5,180.0,top
R705,203.25,-83.5,180.0,top
R706,205.5,-76.75,90.0,top
SW101,195.25,-118.75,90.0,top
SW102,156.25,-118.75,270.0,top
SW103,152.0,-118.75,270.0,top
SW104,204.0,-118.75,90.0,top
SW105,200.0,-118.75,90.0,top
U101,178.25,-120.5,270.0,top
U102,165.25,-103.75,0.0,top
U103,182.6,-92.4,180.0,top
U106,148.8,-76.65,270.0,top
U301,124.5,-84.75,0.0,top
U601,192.25,-105.0,270.0,top
U603,203.25,-106.75,270.0,top
U701,200.83,-79.875,0.0,top
X101,161.6,-85.1,180.0,top
Y601,202.75,-96.0,0.0,top
