Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C106, C107, C108, C110, C112, C113, C114, C115, C116, C118, C119, C120, C121, C122, C123, C124, C127, C128, C129, C130, C305, C501, C601, C603, C604, C605, C606, C607, C608, C609, C611, C613, C614, C707",0603,39,100n,C14663
"C109, C111, C306, C307, C308",0603,5,10u,C96446
"C125, C126",0603,2,10n,C57112
"C301, C303, C615, C616",0603,4,30p,C1658
"C302, C304",0603,2,10p,C1634
"C602, C610, C612",0603,3,4u7,C19666
C702,0603,1,10n 16V,C57112
"C704, C705, C708",1206,3,22u 35V,
C706,0603,1,6n8,
D101,SOT-23,1,BAT54S,
D102,0603,1,Green,C72043
D108,SOT-23,1,BAT54A,
"D217, D218, D219, D220, D221, D222, D223",0603,7,G,C72043
"FB301, FB302, FB601, FB602",0603,4,FerriteBead_Small,C1002
"H1, H2, H3, H4",MountingHole_3.2mm_M3_DIN965_Pad,4,M3,
J1,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J102,PinHeader_1x04_P2.54mm_Vertical,1,Pin Header,
J2,PinSocket_2x07_P2.54mm_Vertical,1,Conn_02x07_Odd_Even,
J301,ICD15S13E4GX00LF,1,ICD15S13E4GX00LF,
J302,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,CUI_SJ1-3533NG,
J501,HDMI_A_Amphenol_10029449-x01xLF_Horizontal,1,10029449-101RLF,
J702,BarrelJack_CUI_PJ-102AH_Horizontal,1,CUI PJ102,
J703,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,1,5.08mm,
L701,L_Bourns-SRN8040_8x8.15mm,1,SRN8040-100M,
LOGO101,OSHW-Logo_7.5x8mm_SilkScreen,1,Logo_Open_Hardware_Small,
"Q501, Q502, Q503",SOT-23,3,2N7002,
Q701,SOT-223,1,PMT21EN,
R101,0603,1,22R,C23345
"R102, R105, R107, R108, R109, R332, R333, R604, R605, R606",0603,10,10k,C25804
"R103, R104",0603,2,100R,C22775
"R110, R217, R218, R219, R220, R221, R222, R223",0603,8,2k2,C4190
"R301, R302, R303, R310, R311, R312, R319, R320, R321",0603,9,1k 0.1%,C21190
"R304, R305, R306, R313, R314, R315, R322, R323, R324",0603,9,2k 0.1%,C22975
"R307, R308, R316, R317, R318, R325, R326",0603,7,16k 0.1%,
"R309, R327",0603,2,120R,C22787
"R328, R329, R330, R331",0603,4,47k,C25819
"R501, R502, R503, R504",0603,4,NM,
"R505, R506, R507, R508, R509, R510, R511, R512",0603,8,0,
"R513, R515, R517",0603,3,4k7,C23162
"R514, R516, R518",0603,3,1k5,C22843
R519,0603,1,51R,C23197
"R520, R602",0603,2,1k,C21190
"R521, R701, R706",0603,3,100k,C25803
R601,0603,1,12k,C22790
R603,0603,1,2k,C22975
R703,0603,1,6k8,C23212
R704,0603,1,33k,C4216
R705,0603,1,7k5,C23234
"SW101, SW102, SW103, SW104, SW105",SW_Push_1P1T_NO_CK_KMR2,5,KMR2,
U101,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q16JLSSIG,
U102,TQFP-144_20x20mm_P0.5mm,1,ICE40HX4K-TQ144,
U103,SOT-23-5,1,TLV71312PDBV,
U106,TSOP-II-54_22.2x10.16mm_P0.8mm,1,AS4C32M8SA,
U301,SO-8_3.9x4.9mm_P1.27mm,1,OPA1602,
U601,LQFP-64_10x10mm_P0.5mm,1,FT2232HL,
U603,SO-8_3.9x4.9mm_P1.27mm,1,93LCxxC,
U701,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm,1,AP6503,
X101,Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm,1,ECS-2520MV-xxx-xx,
Y601,Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm,1,ABM3B-12,
